country,date,consumer confidence,interest rates,unemployment rate
new zealand,2021-11-01,99.1,0.5,3.2
new zealand,2021-12-01,99.1,0.75,3.2
new zealand,2022-01-01,92.1,0.75,3.2
new zealand,2022-02-01,92.1,1.0,3.2
new zealand,2022-03-01,92.1,1.0,3.2
new zealand,2022-04-01,78.7,1.5,3.3
new zealand,2022-05-01,78.7,2.0,3.3
new zealand,2022-06-01,78.7,2.5,3.3
new zealand,2022-07-01,87.6,3.0,3.3
new zealand,2022-08-01,87.6,3.0,3.3
new zealand,2022-09-01,87.6,3.5,3.3
new zealand,2022-10-01,75.6,4.25,3.4
new zealand,2022-11-01,75.6,4.25,3.4
new zealand,2022-12-01,75.6,4.25,3.4
new zealand,2023-01-01,77.7,4.75,3.4
new zealand,2023-02-01,77.7,4.75,3.4
new zealand,2023-03-01,77.7,5.25,3.4
new zealand,2023-04-01,83.1,5.5,3.6
new zealand,2023-05-01,83.1,5.5,3.6
new zealand,2023-06-01,83.1,5.5,3.6
new zealand,2023-07-01,80.2,5.5,3.9
new zealand,2023-08-01,80.2,5.5,3.9
new zealand,2023-09-01,80.2,5.5,3.9
new zealand,2023-10-01,88.9,5.5,4.0
new zealand,2023-11-01,88.9,5.5,4.0
new zealand,2023-12-01,88.9,5.5,4.0
switzerland,2020-01-01,-8.8,-0.75,2.6
switzerland,2020-02-01,-8.8,-0.75,2.5
switzerland,2020-03-01,-8.8,-0.75,2.9
switzerland,2020-04-01,-39.0,-0.75,3.3
switzerland,2020-05-01,-39.0,-0.75,3.4
switzerland,2020-06-01,-39.0,-0.75,3.2
switzerland,2020-07-01,-12.9,-0.75,3.2
switzerland,2020-08-01,-12.9,-0.75,3.3
switzerland,2020-09-01,-12.9,-0.75,3.2
switzerland,2020-10-01,-13.1,-0.75,3.2
switzerland,2020-11-01,-13.1,-0.75,3.3
switzerland,2020-12-01,-13.1,-0.75,3.5
switzerland,2021-01-01,-14.0,-0.75,3.7
switzerland,2021-02-01,-14.0,-0.75,3.6
switzerland,2021-03-01,-14.0,-0.75,3.4
switzerland,2021-04-01,-6.4,-0.75,3.3
switzerland,2021-05-01,-6.4,-0.75,3.1
switzerland,2021-06-01,-6.4,-0.75,2.8
switzerland,2021-07-01,7.6,-0.75,2.8
switzerland,2021-08-01,7.6,-0.75,2.7
switzerland,2021-09-01,7.6,-0.75,2.6
switzerland,2021-10-01,3.5,-0.75,2.5
switzerland,2021-11-01,3.5,-0.75,2.5
switzerland,2021-12-01,3.5,-0.75,2.6
switzerland,2022-01-01,-3.7,-0.75,2.6
switzerland,2022-02-01,-3.7,-0.75,2.5
switzerland,2022-03-01,-3.7,-0.75,2.4
switzerland,2022-04-01,-27.5,-0.75,2.3
switzerland,2022-05-01,-27.5,-0.75,2.1
switzerland,2022-06-01,-27.5,-0.75,2.0
switzerland,2022-07-01,-41.7,-0.75,2.0
switzerland,2022-08-01,-41.7,-0.25,2.0
switzerland,2022-09-01,-41.7,-0.25,1.9
switzerland,2022-10-01,-46.6,-0.25,1.9
switzerland,2022-11-01,-46.6,0.5,2.0
switzerland,2022-12-01,-46.6,0.5,2.1
switzerland,2023-01-01,-35.5,0.5,2.2
switzerland,2023-02-01,-34.8,1.0,2.1
switzerland,2023-03-01,-37.7,1.0,2.0
switzerland,2023-04-01,-37.7,1.0,2.0
switzerland,2023-05-01,-39.7,1.5,1.9
switzerland,2023-06-01,-39.6,1.5,1.9
switzerland,2023-07-01,-37.2,1.5,1.9
switzerland,2023-08-01,-40.6,1.75,2.0
switzerland,2023-09-01,-50.8,1.75,2.0
switzerland,2023-10-01,-52.5,1.75,2.0
switzerland,2023-11-01,-48.0,1.75,2.1
switzerland,2023-12-01,-44.4,1.75,2.3
united kingdom,2020-01-01,-9.0,0.75,4.0
united kingdom,2020-02-01,-7.0,0.75,4.1
united kingdom,2020-03-01,-9.0,0.25,4.1
united kingdom,2020-04-01,-34.0,0.1,4.2
united kingdom,2020-05-01,-34.0,0.1,4.2
united kingdom,2020-06-01,-30.0,0.1,4.2
united kingdom,2020-07-01,-27.0,0.1,4.4
united kingdom,2020-08-01,-27.0,0.1,4.7
united kingdom,2020-09-01,-25.0,0.1,5.0
united kingdom,2020-10-01,-31.0,0.1,5.2
united kingdom,2020-11-01,-33.0,0.1,5.2
united kingdom,2020-12-01,-26.0,0.1,5.3
united kingdom,2021-01-01,-28.0,0.1,5.3
united kingdom,2021-02-01,-23.0,0.1,5.2
united kingdom,2021-03-01,-16.0,0.1,5.1
united kingdom,2021-04-01,-15.0,0.1,5.0
united kingdom,2021-05-01,-9.0,0.1,5.0
united kingdom,2021-06-01,-9.0,0.1,4.8
united kingdom,2021-07-01,-7.0,0.1,4.7
united kingdom,2021-08-01,-8.0,0.1,4.6
united kingdom,2021-09-01,-13.0,0.1,4.4
united kingdom,2021-10-01,-17.0,0.1,4.3
united kingdom,2021-11-01,-14.0,0.1,4.2
united kingdom,2021-12-01,-15.0,0.1,4.2
united kingdom,2022-01-01,-19.0,0.25,4.1
united kingdom,2022-02-01,-26.0,0.25,4.0
united kingdom,2022-03-01,-31.0,0.5,3.9
united kingdom,2022-04-01,-38.0,0.75,4.0
united kingdom,2022-05-01,-40.0,0.75,3.9
united kingdom,2022-06-01,-41.0,1.0,3.9
united kingdom,2022-07-01,-41.0,1.25,3.7
united kingdom,2022-08-01,-44.0,1.25,3.6
united kingdom,2022-09-01,-49.0,1.75,3.8
united kingdom,2022-10-01,-47.0,2.25,3.9
united kingdom,2022-11-01,-44.0,2.25,3.8
united kingdom,2022-12-01,-42.0,2.25,3.9
united kingdom,2023-01-01,-45.0,3.0,3.8
united kingdom,2023-02-01,-38.0,3.5,3.9
united kingdom,2023-03-01,-36.0,3.5,4.0
united kingdom,2023-04-01,-30.0,4.0,3.9
united kingdom,2023-05-01,-27.0,4.25,4.0
united kingdom,2023-06-01,-24.0,4.25,4.2
united kingdom,2023-07-01,-30.0,4.5,4.3
united kingdom,2023-08-01,-25.0,5.0,4.2
united kingdom,2023-09-01,-21.0,5.25,4.1
united kingdom,2023-10-01,-30.0,5.25,4.0
united kingdom,2023-11-01,-24.0,5.25,3.9
united kingdom,2023-12-01,-22.0,5.25,3.8
united states,2020-01-01,99.8,1.75,3.6
united states,2020-02-01,101.0,1.75,3.5
united states,2020-03-01,89.1,1.25,4.4
united states,2020-04-01,71.8,0.25,14.9
united states,2020-05-01,72.3,0.25,13.3
united states,2020-06-01,78.1,0.25,11.0
united states,2020-07-01,72.5,0.25,10.2
united states,2020-08-01,74.1,0.25,8.4
united states,2020-09-01,80.4,0.25,7.8
united states,2020-10-01,81.8,0.25,6.8
united states,2020-11-01,76.9,0.25,6.7
united states,2020-12-01,80.7,0.25,6.7
united states,2021-01-01,79.0,0.25,6.4
united states,2021-02-01,76.8,0.25,6.2
united states,2021-03-01,84.9,0.25,6.1
united states,2021-04-01,88.3,0.25,6.1
united states,2021-05-01,82.9,0.25,5.8
united states,2021-06-01,85.5,0.25,5.9
united states,2021-07-01,81.2,0.25,5.4
united states,2021-08-01,70.3,0.25,5.1
united states,2021-09-01,72.8,0.25,4.7
united states,2021-10-01,71.7,0.25,4.5
united states,2021-11-01,67.4,0.25,4.1
united states,2021-12-01,70.6,0.25,3.9
united states,2022-01-01,67.2,0.25,4.0
united states,2022-02-01,62.8,0.25,3.8
united states,2022-03-01,59.4,0.25,3.6
united states,2022-04-01,65.2,0.5,3.7
united states,2022-05-01,58.4,0.5,3.6
united states,2022-06-01,50.0,1.0,3.6
united states,2022-07-01,51.5,1.75,3.5
united states,2022-08-01,58.2,2.5,3.6
united states,2022-09-01,58.6,2.5,3.5
united states,2022-10-01,59.9,3.25,3.6
united states,2022-11-01,56.8,3.25,3.6
united states,2022-12-01,59.7,4.0,3.5
united states,2023-01-01,64.9,4.5,3.4
united states,2023-02-01,67.0,4.5,3.6
united states,2023-03-01,62.0,4.75,3.5
united states,2023-04-01,63.5,5.0,3.4
united states,2023-05-01,59.2,5.0,3.7
united states,2023-06-01,63.9,5.25,3.6
united states,2023-07-01,72.6,5.25,3.5
united states,2023-08-01,71.2,5.5,3.8
united states,2023-09-01,67.7,5.5,3.8
united states,2023-10-01,63.8,5.5,3.9
united states,2023-11-01,61.3,5.5,3.7
united states,2023-12-01,69.7,5.5,3.7
