duration,comments,latitude,longitude,year
15.0,Verified oddity,33.7488889,-84.3880556,2012
2.0,Big&#44 bright&#44 white&#44 oval light with a blue flash falling fast in the sky over Olympia&#44 WA,47.0380556,-122.8994444,2012
10.0,Green and amber fireball in sky,40.1744444,-74.9230556,2012
3.0,From northern sky over lake Ontario  a green light appeared and fell very fast to the horizon. Shaped like a circle.Orb It seemed t,43.2122222,-77.4302778,2012
240.0,UFO sightings almost every night now days,43.1466667,-88.3066667,2012
900.0,Blue and red light&#44 other object(s),33.5205556,-86.8025,2012
5.0,Huge bright saucer,30.4013889,-86.8636111,2012
4.0,Dark sauser shape object with dome coasting along 40 degree angle up from horizen moving west to east. .,39.6416667,-77.7202778,2012
180.0,White/silver oval shape flying and then disappeared over Brooklyn.,40.7,-73.9061111,2012
240.0,Observed solid light heading toward the south west.  Steady&#44 non blinking&#44 traveling in a straight line.  Observed a very quick flash f,44.715,-67.4619444,2012
300.0,A bright soundless orb of light hovering about 200 feet in the air which went east into norman. 500 Lights On Object0: Yes,35.2225,-97.4391667,2012
10.0,Scanning striped light passes over my car accompanied by three flashes and two beams across the sky.,37.9736111,-122.53,2012
3.0,Very large meteor or something on fire over San Francisco Bay.,37.5958333,-122.0180556,2012
2.5,Overly birght light diving towards ground&#44 no impact&#44,33.86,-118.1847222,2012
2.5,Seen objects that appear to flash red&#44 green&#44 violet. All spectrums of light. This event has been happening on clear nights. ((Stars??),35.3805556,-106.4786111,2012
1500.0,We saw what looked like an orange fire ball just hovering for some time before moving southward followed by a fast moving aircraft,40.6083333,-75.4905556,2012
1260.0,Lights going to fast to be a plane,35.0536111,-94.6233333,2012
900.0,Small circle flying low over house in Encinitas&#44 CA with flashing lights,32.7152778,-117.1563889,2012
20.0,Largest starlike object floats through sky and disappears into.space.  ((NUFORC Note:  Satellites??  PD)),33.9813889,-81.2363889,2012
180.0,Elongated rectangular object flying slower than an airplane&#44 but faster than a blimp.,41.6688889,-87.7386111,2012
180.0,5 red/orange ovals traveling SW to NE in a straight line &#44 spaced equally apart.,41.5894444,-88.0577778,2012
300.0,Fiery orange triangle with blinking lights on rear&#44 moved from east to west and pitched from side to side.,42.0833333,-71.0188889,2012
5.0,At around  8:15PM eastern time I was outside and all the sudden I heard a really loud noise that sounded almost like a freight train. I,39.5741667,-77.5508333,2012
600.0,While taking an evening walk&#44 I noticed a pair of two orange objects flying NNW in the sky below the cloud cover.,41.4847222,-81.9222222,2012
300.0,Very low to the ground&#44 and one craft with three large orange lights.,34.2788889,-94.0505556,2012
600.0,Changing light from bright to dim&#44 to off to blue/red,64.8377778,-147.7163889,2012
120.0,Oval object with many lights that shifted diagonally in the sky,44.4669444,-73.1713889,2012
180.0,The pinkish orange lights dimmed out as the diamond shaped object moved overhead toward the east.,27.9472222,-82.4586111,2012
30.0,I was on my way to bed n I sleep next to the window n when I lay down I can see the roof of the neighbor so I was trying to get sleep n,42.1013889,-72.5902778,2012
900.0,Circular mass moving through night sky with lights around periphery 02:00 Hours In sky over Unity&#44 Maine.,44.6111111,-69.335,2012
180.0,Non-blinking white spherical-shaped object traveled northwest to southeast - appeared to be a very large meteor falling thru atmosphere,47.9791667,-122.2008333,2012
60.0,Bight Glowing orange orb that dimmed and would go bright again.It stopped for  30 seconds then accelarated and disappeared.Heading East,47.2530556,-122.4430556,2012
300.0,Three random chunks of car-sized &quot;brown mold&quot; motionless in a clear blue sky near BWI.  ((NUFORC Note:  USAF Acad. Grad.  PD)),39.1369444,-76.6986111,2012
300.0,Silver object without wings or noise,27.0438889,-82.2361111,2012
180.0,3 redish lights spotted in Butler MD at 7:15 pm on 10/19/12,39.5352778,-76.7283333,2012
60.0,Meteor-like object broke up into three pieces then a bright light appeared where it ended it&#39s travel.,34.4208333,-119.6972222,2012
60.0,Five UFO&#39s went past the three of us,41.5894444,-88.0577778,2012
300.0,Orange &#8220;Fireball&#8221; Observed&#44 Dickson County&#44 Middle Tennessee,36.0533333,-87.3125,2012
20.0,Black&#44 triangular shaped craft with dim&#44 orange lights over Katy&#44 Tx,29.7855556,-95.8241667,2012
300.0,Red light swooping left and right over seaside park 11:30PM 10/19/12,39.9266667,-74.0775,2012
600.0,2nd Sighting&#44 Orange UFO East of Scottsdale Arizona 10/19/2012,33.5091667,-111.8983333,2012
1200.0,Two lights flying in random patterns over Nashville.,36.1658333,-86.7844444,2012
2.0,Faison NC&#44 a bright oval object flashed above 3 friends and I&#44 lit he whole area up.,35.1161111,-78.1363889,2012
90.0,Observed a fast moving spherical object moving horizontally across the eastern horizon.,36.8527778,-75.9783333,2012
600.0,Call me if you want in depth description and pics and video some in raw format of 4 separate sightings.,45.8405556,-119.2883333,2012
600.0,2 fireballs and a cylinder shaped craft spotted in Eastern Oregon.,45.8405556,-119.2883333,2012
120.0,As I was heading north on interstate 71 my daughter noticed a amber colored light in the sky... at first it was heading straight in our,41.3197222,-81.6269444,2012
10.0,Reflective Silver/Orange sphere over Brooklyn,40.7141667,-74.0063889,2012
180.0,20 plus orange orbs seen in Hampton sky,42.9375,-70.8394444,2012
300.0,Strange bright yellow lights moving across the sky.,43.3238889,-88.1666667,2012
300.0,12 red lights flying,39.1369444,-76.6986111,2012
600.0,I witinessed orange objects flying in unusual patterns coming from the horizon as well a silent and gliding black craft.,42.2780556,-74.9163889,2012
120.0,Fiery balls falling from the sky over El Paso.,31.7586111,-106.4863889,2012
300.0,2 fireballs traveling across the sky,35.9608333,-78.2538889,2012
300.0,Three groups &#44 each between 5 and 10 objects moved across the sky and disappeared low in sky-Another group appearing shortly after.,44.8113889,-91.4983333,2012
300.0,3 red lights in a triangular pattern rising in altitude together followed by 2 more.,36.5483333,-82.5619444,2012
10.0,Triangle-shaped&#44 illuminated object flies fast and silent from north to south across sky,31.5544444,-110.3030556,2012
600.0,6-8 Orange lights in formation over Gilbert,33.3527778,-111.7883333,2012
600.0,Two Unidentified Objects observed over Washington County (Wisconsin),43.3238889,-88.1666667,2012
240.0,12 red lights over gateway airport.  1 light merged with anouther light  and became 1 light.,33.3527778,-111.7883333,2012
900.0,Four hovering orange/red fireballs sighted above Bethany Beach&#44 DE&#44 around 10:15pm on Saturday&#44 October 20&#44 2012.,38.5394444,-75.0555556,2012
120.0,Unexplaned huge red/orange ball over Sandy&#44 Ut traveling horizontally and suddenly dropping out of sight.,40.5622222,-111.9288889,2012
300.0,12 - 20 lights flying in formation in phoenix sky video&#39s linked in full description,33.5386111,-112.1852778,2012
600.0,13 orange lighted craft in line formation moving to the North in Northwest Scottsdale Az,33.5091667,-111.8983333,2012
300.0,Silent orange balls of light in a straight line formation moving slowly for 5 minutes then dissapeared,33.9813889,-81.2363889,2012
1200.0,3 bright lights (same hew as the stars) darting around the area of the Big Dipper&#44 2 seemed to be &quot;attacking&quot; the 1,61.2180556,-149.9002778,2012
300.0,Bright orange thing with beams coming out of it changing colors flying across the sky,47.9130556,-122.0969444,2012
300.0,Unexplained &quot;formation&quot; of red lights that slowly disappeared.,41.3572222,-88.4211111,2012
15.0,At approximately 1:30 am while smoking a cigarette in my back yard&#44 movement high up in the atmosphere caught my eye.,33.5311111,-111.9419444,2012
420.0,I am looking for an explanation to why would something so big not built by human intelligence visit...me.,30.2238889,-92.0197222,2012
